Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage,,,,,,,,,,,,,,,,,
,,Fault propegation (data),"If any data bus fetch associated with the execution of a load instruction, store instruction, pop - type instruction or push - type instruction has an associated parity/checksum error, then that load instruction, store instruction, pop - type instruction or push - type instruction shall have an associated parity/checksum error.",Verify that it is generated a pending NMI if any valid data fetch has an integrity error,Assertion Check,Directed Self-Checking,Assertion Coverage,"A: a_glitch_xsecure_integrity_data_integrity_err_helper_assert, a_glitch_xsecure_integrity_data_integrity_err",,,,,,,,,,,,,,,,,
,,Register file update,Load instructions and pop - type instructions with parity/checksum errors shall still write the register file (in the same way as if no parity/checksum error happened).,Verify that the register file is updated even though there is an integrity fault,Assertion check,Directed Self-Checking,Assertion Coverage,A: a_xsecure_integrity_update_register_parity_checksum_error. COV: c_glitch_xsecure_integrity_update_register_parity_checksum_error,,,,,,,,,,,,,,,,,
,,Major alert (integrity),Non - associated instruction or data interface integrity ( parity/checksum ) error sets major alert,Verify that major alert is set if there is an instruction or data interface integrity fault ,Assertion check,Directed Self-Checking,Assertion Coverage,"A: a_glitch_xsecure_integrity_data_gnt_parity, a_glitch_xsecure_integrity_instr_gnt_parity, a_glitch_xsecure_integrity_data_rvalid_parity, a_glitch_xsecure_integrity_instr_rvalid_parity",,,,,,,,,,,,,,,,,
,,Major alert (instruction),Instruction parity/checksum fault ( i.e. when triggering the related exception) sets major alert. ,Verify that instruction parity/checksum fault ( i.e. when triggering the related exception) sets major alert. ,Assertion check,Directed Self-Checking,Assertion Coverage,A: a_glitch_xsecure_integrity_instr_integrity_error,,,,,,,,,,,,,,,,,
,,Major alert (data),Store/load parity/checksum fault NMI ( i.e. when triggering the related NMI) sets major alert,Verify that store/load parity/checksum fault NMI ( i.e. when triggering the related NMI) sets major alert,Assertion check,Directed Self-Checking,Assertion Coverage,A: a_glitch_xsecure_integrity_data_integrity_err,,,,,,,,,,,,,,,,,
,,Instruction exception code,An attempt to execute an instruction with an associated integrity error shall cause an instruction parity/checksum fault exception (exception code 0x19).,Verify that an attempt to execute an instruction with an associated integrity error shall cause an instruction parity/checksum fault exception (exception code 0x19).,Assertion check,Directed Self-Checking,Assertion Coverage,A: a_glitch_xsecure_integrity_instr_integrity_error,,,,,,,,,,,,,,,,,
,,Data exception code,A load/store access with an associated integrity error shall cause a load parity/checksum fault NMI (exception code 0x402/0x403).,Verify that a load/store access with an associated integrity error shall cause a load parity/checksum fault NMI (exception code 0x402/0x403).,Assertion check,Directed Self-Checking,Functional coverage,"A: a_glitch_xsecure_integrity_data_integrity_err_helper_assert, a_glitch_xsecure_integrity_data_integrity_err. COV:c_glitch_xsecure_integrity_parity_checksum_fault_NMI_load_instruction, c_glitch_xsecure_integrity_parity_checksum_fault_NMI_store_instruction.",,,,,,,,,,,,,,,,,
,Bus Protocol Hardening,Interface violation of the OBI busses,"Verify that OBI protocol is followed, or if there is a violation alert major is set.","Verify that the OBI protocol is followed, but if not, alert major is set",Assertion check,Constrained-Random and Directed Self-Checking,Assertion Coverage,"A: a_xsecure_bus_hardening_no_outstanding_obi_instr_trans, a_xsecure_bus_hardening_no_outstanding_obi_data_trans, a_glitch_xsecure_bus_hardening_no_outstanding_obi_instr_trans, a_glitch_xsecure_bus_hardening_no_outstanding_obi_data_trans",,,,,,,,,,,,,,,,,
,,Interface between MPU and alignment buffer,"Verify that OBI protocol is followed, or if there is a violation alert major is set.","Verify that the OBI protocol is followed, but if not, alert major is set",Assertion check,Constrained-Random and Directed Self-Checking,Assertion Coverage,"A: a_xsecure_bus_hardening_alignment_buff_receive_instr_if_mpu_resp, a_glitch_xsecure_bus_hardening_alignment_buff_receive_instr_if_mpu_resp",,,,,,,,,,,,,,,,,
A: ,,Interface between load store unit MPU and load store unit,"Verify that OBI protocol is followed, or if there is a violation alert major is set.","Verify that the OBI protocol is followed, but if not, alert major is set",Assertion check,Constrained-Random and Directed Self-Checking,Assertion Coverage,"A: a_xsecure_bus_hardening_lsu_receive_lsu_mpu_resp, a_glitch_xsecure_bus_hardening_lsu_receive_lsu_mpu_resp",,,,,,,,,,,,,,,,,
,,Core side memory transaction counter in the load-store unit response filter,"The counter should not underflow, but if it does, alert major is set","Verify that the counter should not underflow, but if it does, alert major is set",Assertion check,Constrained-Random and Directed Self-Checking,Assertion Coverage,"A: a_xsecure_bus_hardening_core_side_cnt, a_glitch_xsecure_bus_hardening_core_side_cnt_underflows",,,,,,,,,,,,,,,,,
,,Bus side memory transaction counter in the load-store unit response filter,"The counter should not underflow, but if it does, alert major is set","Verify that the counter should not underflow, but if it does, alert major is set",Assertion check,Constrained-Random and Directed Self-Checking,Assertion Coverage,"A: a_xsecure_bus_hardening_bus_side_cnt, a_glitch_xsecure_bus_hardening_bus_side_cnt_underflows",,,,,,,,,,,,,,,,,
,Reduction of profiling infrastructure,CSRs to decode as illegal,"The following CSRs shall decode as illegal: cycle, instret, cycleh, instreth, hpmcounter3-31, hpmcounterh3-31",Verify any instruction attempting to read or write these registers decode as illegal,Check against RM,Directed Non-Self-Checking,N/A,DTC: csr_should_not_be_present,,,,,,,,,,,,,,,,,
,,CSRs to be hardwired to 0x0,"The following CSRs shall be hardwired to 0x0: mhpmcounteren3-31, mhpmcounterh3-31, mhpevent3-31",Assert these registers are always 0,Assertion check,Constrained-Random,Assertion Coverage,"A: a_xsecure_reduced_profiling_mhpmevent, a_xsecure_reduced_profiling_mhpmcounter",,,,,,,,,,,,,,,,,
,,CSR present,mcountereren CSR shall be present WARL (0x0),Verify that mcounteren CSR is present and WARL,Check against RM,Directed Non-Self-Checking,N/A,DTC: csr_should_be_present,,,,,,,,,,,,,,,,,
,,CSR present,"mcycle, minstret, mcycleh and minstreth CSRs are present","Verify that CSRs mcycle, minstret, mcycleh and minstreth are present",Check against RM,Directed Non-Self-Checking,N/A,DTC: csr_should_be_present,,,,,,,,,,,,,,,,,
,,CSR bits ardwired to 0,Bits 1 and 3-31 of the mcountinhibit CSR shall be hardwired to 0,"Verify that every bit of CSR mcountinhibit, except bit nr. 1 and 2, are hardwired to 0",Assertion check,Constrained-Random,Assertion Coverage,A: a_xsecure_reduced_profiling_mcountinhibit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
